epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,249.949,1.38155,2.89141,1.44342,0.90104,0.20173,0.45851,0.24052,1.2834,3.10197,1.42124,0.0003,0.0003,0.0003
2,518.967,1.36376,1.85072,1.42155,0.57813,0.39768,0.571,0.31912,1.37654,2.39303,1.67614,0.000600373,0.000600373,0.000600373
3,768.745,1.40721,1.62067,1.44425,0.6089,0.52857,0.62914,0.33359,1.45892,2.1368,1.69533,0.00088837,0.00088837,0.00088837
4,1003.31,1.35539,1.49927,1.39862,0.59146,0.54492,0.5842,0.30805,1.55451,1.98001,1.74563,0.00116399,0.00116399,0.00116399
5,1257.82,1.36962,1.49146,1.41461,0.63301,0.51116,0.57882,0.32639,1.47049,1.90451,1.61834,0.001151,0.001151,0.001151
6,1545.13,1.34932,1.46015,1.40797,0.53793,0.55587,0.55058,0.30712,1.47606,1.91839,1.67209,0.00112625,0.00112625,0.00112625
7,1787.36,1.34557,1.42662,1.38481,0.59744,0.62566,0.61927,0.33936,1.47713,1.72425,1.63822,0.0011015,0.0011015,0.0011015
8,2015.93,1.33484,1.38102,1.40844,0.60714,0.57254,0.59941,0.33363,1.51379,1.75103,1.64237,0.00107675,0.00107675,0.00107675
9,2247.57,1.2756,1.31097,1.34355,0.62592,0.63629,0.63519,0.35565,1.40169,1.85715,1.56664,0.001052,0.001052,0.001052
10,2482.89,1.2541,1.26996,1.32703,0.65603,0.64247,0.66645,0.38607,1.39913,1.5501,1.54879,0.00102725,0.00102725,0.00102725
11,2715.4,1.27535,1.25697,1.32998,0.70903,0.64342,0.69529,0.39555,1.42916,1.52162,1.57565,0.0010025,0.0010025,0.0010025
12,2945.94,1.2464,1.23738,1.34124,0.71465,0.63963,0.71111,0.40677,1.41565,1.47772,1.54222,0.00097775,0.00097775,0.00097775
13,3176.84,1.24968,1.18366,1.31147,0.70675,0.64589,0.69397,0.40211,1.38064,1.46095,1.49519,0.000953,0.000953,0.000953
14,3407.22,1.21416,1.1989,1.31706,0.73367,0.70653,0.74662,0.43756,1.3194,1.43298,1.48098,0.00092825,0.00092825,0.00092825
15,3639.82,1.2074,1.17281,1.30606,0.68184,0.65958,0.69952,0.4225,1.33217,1.49063,1.51672,0.0009035,0.0009035,0.0009035
